Date,Open
2000-01-04,25.20
2000-01-05,25.50
2000-01-06,24.80
2000-01-07,24.65
2000-01-10,24.22
2000-01-11,24.71
2000-01-12,25.73
2000-01-13,26.28
2000-01-14,26.80
2000-01-18,28.03
2000-01-19,28.80
2000-01-20,29.40
2000-01-21,27.85
2000-01-24,28.23
2000-01-25,27.78
2000-01-26,28.29
2000-01-27,27.78
2000-01-28,27.22
2000-01-31,27.10
2000-02-01,27.60
2000-02-02,28.22
2000-02-03,27.56
2000-02-04,28.17
2000-02-07,28.71
2000-02-08,28.44
2000-02-09,28.00
2000-02-10,28.60
2000-02-11,29.42
2000-02-14,29.44
2000-02-15,30.28
2000-02-16,30.02
2000-02-17,30.04
2000-02-18,29.41
2000-02-22,29.20
2000-02-23,28.88
2000-02-24,29.30
2000-02-25,29.92
2000-02-28,30.20
2000-02-29,30.19
2000-03-01,30.49
2000-03-02,31.74
2000-03-03,31.61
2000-03-06,31.34
2000-03-07,32.11
2000-03-08,34.26
2000-03-09,31.20
2000-03-10,31.68
2000-03-13,31.74
2000-03-14,32.05
2000-03-15,31.71
2000-03-16,30.67
2000-03-17,31.12
2000-03-20,30.71
2000-03-21,29.60
2000-03-22,27.80
2000-03-23,27.40
2000-03-24,27.32
2000-03-27,28.00
2000-03-28,27.71
2000-03-29,27.09
2000-03-30,26.45
2000-03-31,26.60
2000-04-03,26.85
2000-04-04,26.39
2000-04-05,25.32
2000-04-06,25.85
2000-04-07,25.64
2000-04-10,24.90
2000-04-11,23.89
2000-04-12,24.24
2000-04-13,25.41
2000-04-14,25.27
2000-04-17,25.45
2000-04-18,26.00
2000-04-19,25.95
2000-04-20,25.75
2000-04-24,25.95
2000-04-25,25.71
2000-04-26,25.02
2000-04-27,24.85
2000-04-28,25.65
2000-05-01,25.55
2000-05-02,25.95
2000-05-03,26.92
2000-05-04,26.85
2000-05-05,26.80
2000-05-08,27.30
2000-05-09,28.05
2000-05-10,28.40
2000-05-11,28.10
2000-05-12,29.45
2000-05-15,29.20
2000-05-16,30.10
2000-05-17,29.40
2000-05-18,29.80
2000-05-19,30.18
2000-05-22,29.76
2000-05-23,28.70
2000-05-24,28.86
2000-05-25,30.05
2000-05-26,30.53
2000-05-30,30.00
2000-05-31,30.15
2000-06-01,29.00
2000-06-02,30.14
2000-06-05,30.32
2000-06-06,29.66
2000-06-07,29.84
2000-06-08,29.98
2000-06-09,29.75
2000-06-12,30.48
2000-06-13,31.80
2000-06-14,32.49
2000-06-15,32.80
2000-06-16,32.81
2000-06-19,32.10
2000-06-20,31.61
2000-06-21,30.52
2000-06-22,31.37
2000-06-23,32.25
2000-06-26,32.26
2000-06-27,31.58
2000-06-28,32.09
2000-06-29,31.88
2000-06-30,32.77
2000-07-05,31.15
2000-07-06,30.76
2000-07-07,30.10
2000-07-10,29.99
2000-07-11,29.75
2000-07-12,29.71
2000-07-13,30.32
2000-07-14,31.50
2000-07-17,31.05
2000-07-18,30.74
2000-07-19,31.82
2000-07-20,31.30
2000-07-21,29.66
2000-07-24,28.51
2000-07-25,28.01
2000-07-26,27.96
2000-07-27,27.93
2000-07-28,28.12
2000-07-31,28.17
2000-08-01,27.36
2000-08-02,27.79
2000-08-03,28.24
2000-08-04,28.75
2000-08-07,29.91
2000-08-08,28.80
2000-08-09,29.15
2000-08-10,30.35
2000-08-11,31.23
2000-08-14,31.03
2000-08-15,31.90
2000-08-16,31.69
2000-08-17,31.76
2000-08-18,31.94
2000-08-21,31.91
2000-08-22,32.42
2000-08-23,31.19
2000-08-24,32.13
2000-08-25,31.63
2000-08-28,31.96
2000-08-29,32.87
2000-08-30,32.70
2000-08-31,33.26
2000-09-01,33.00
2000-09-05,33.68
2000-09-06,33.83
2000-09-07,34.96
2000-09-08,35.39
2000-09-11,33.60
2000-09-12,35.14
2000-09-13,34.30
2000-09-14,33.87
2000-09-15,34.18
2000-09-18,35.85
2000-09-19,36.75
2000-09-20,36.45
2000-09-21,35.25
2000-09-22,33.71
2000-09-25,32.20
2000-09-26,31.60
2000-09-27,31.52
2000-09-28,31.40
2000-09-29,30.25
2000-10-02,30.97
2000-10-03,32.10
2000-10-04,32.07
2000-10-05,31.20
2000-10-06,30.70
2000-10-09,30.90
2000-10-10,31.86
2000-10-11,33.13
2000-10-12,33.19
2000-10-13,36.04
2000-10-16,34.54
2000-10-17,32.90
2000-10-18,33.04
2000-10-19,33.55
2000-10-20,32.90
2000-10-23,33.00
2000-10-24,33.69
2000-10-25,33.37
2000-10-26,32.97
2000-10-27,33.85
2000-10-30,32.90
2000-10-31,32.85
2000-11-01,32.69
2000-11-02,33.17
2000-11-03,32.55
2000-11-06,32.48
2000-11-07,33.02
2000-11-08,33.39
2000-11-09,33.24
2000-11-10,33.93
2000-11-13,34.15
2000-11-14,34.48
2000-11-15,34.85
2000-11-16,35.54
2000-11-17,35.08
2000-11-20,34.98
2000-11-21,35.18
2000-11-22,35.20
2000-11-27,35.18
2000-11-28,35.34
2000-11-29,34.19
2000-11-30,34.64
2000-12-01,33.76
2000-12-04,32.10
2000-12-05,31.20
2000-12-06,29.50
2000-12-07,29.88
2000-12-08,29.30
2000-12-11,28.20
2000-12-12,29.56
2000-12-13,29.65
2000-12-14,28.53
2000-12-15,27.97
2000-12-18,28.93
2000-12-19,29.30
2000-12-20,27.65
2000-12-21,25.65
2000-12-22,26.05
2000-12-26,26.20
2000-12-27,26.60
2000-12-28,26.48
2000-12-29,25.77
2001-01-02,26.90
2001-01-03,27.21
2001-01-04,27.99
2001-01-05,28.14
2001-01-08,28.12
2001-01-09,27.40
2001-01-10,27.73
2001-01-11,29.47
2001-01-12,29.35
2001-01-16,30.30
2001-01-17,30.30
2001-01-18,29.59
2001-01-19,30.50
2001-01-22,32.25
2001-01-23,29.69
2001-01-24,29.60
2001-01-25,29.05
2001-01-26,29.40
2001-01-29,29.77
2001-01-30,29.12
2001-01-31,29.08
2001-02-01,28.70
2001-02-02,29.85
2001-02-05,31.19
2001-02-06,30.52
2001-02-07,30.37
2001-02-08,31.28
2001-02-09,31.49
2001-02-12,30.90
2001-02-13,30.52
2001-02-14,30.30
2001-02-15,29.68
2001-02-16,28.86
2001-02-20,29.42
2001-02-21,28.70
2001-02-22,28.55
2001-02-23,28.82
2001-02-26,28.90
2001-02-27,28.40
2001-02-28,28.03
2001-03-01,27.41
2001-03-02,27.69
2001-03-05,27.96
2001-03-06,28.65
2001-03-07,28.30
2001-03-08,28.92
2001-03-09,28.31
2001-03-12,27.92
2001-03-13,27.98
2001-03-14,27.50
2001-03-15,26.46
2001-03-16,26.54
2001-03-19,26.85
2001-03-20,26.15
2001-03-21,26.12
2001-03-22,26.79
2001-03-23,26.48
2001-03-26,27.40
2001-03-27,27.45
2001-03-28,27.77
2001-03-29,26.31
2001-03-30,26.41
2001-04-02,26.35
2001-04-03,25.60
2001-04-04,26.22
2001-04-05,27.22
2001-04-06,27.25
2001-04-09,27.02
2001-04-10,27.32
2001-04-11,28.45
2001-04-12,28.19
2001-04-16,28.11
2001-04-17,29.00
2001-04-18,28.29
2001-04-19,27.88
2001-04-20,27.82
2001-04-23,27.60
2001-04-24,27.64
2001-04-25,26.80
2001-04-26,27.32
2001-04-27,28.49
2001-04-30,28.39
2001-05-01,28.43
2001-05-02,28.95
2001-05-03,27.82
2001-05-04,28.50
2001-05-07,28.34
2001-05-08,27.78
2001-05-09,27.40
2001-05-10,28.25
2001-05-11,28.52
2001-05-14,28.58
2001-05-15,28.85
2001-05-16,29.07
2001-05-17,28.85
2001-05-18,28.92
2001-05-21,29.90
2001-05-22,30.04
2001-05-23,30.05
2001-05-24,29.58
2001-05-25,28.41
2001-05-29,28.35
2001-05-30,28.72
2001-05-31,28.53
2001-06-01,28.48
2001-06-04,28.07
2001-06-05,28.07
2001-06-06,28.24
2001-06-07,27.65
2001-06-08,27.85
2001-06-11,28.40
2001-06-12,28.94
2001-06-13,29.17
2001-06-14,28.79
2001-06-15,29.05
2001-06-18,28.44
2001-06-19,27.56
2001-06-20,27.49
2001-06-21,26.35
2001-06-22,26.70
2001-06-25,26.84
2001-06-26,27.23
2001-06-27,26.97
2001-06-28,25.60
2001-06-29,25.68
2001-07-02,26.31
2001-07-03,25.99
2001-07-05,26.74
2001-07-06,27.00
2001-07-09,28.09
2001-07-10,27.55
2001-07-11,27.51
2001-07-12,27.01
2001-07-13,26.85
2001-07-16,26.55
2001-07-17,26.07
2001-07-18,25.56
2001-07-19,24.80
2001-07-20,24.70
2001-07-23,26.41
2001-07-24,26.10
2001-07-25,26.31
2001-07-26,26.80
2001-07-27,26.65
2001-07-30,27.00
2001-07-31,26.60
2001-08-01,26.35
2001-08-02,26.77
2001-08-03,27.75
2001-08-06,27.53
2001-08-07,27.72
2001-08-08,27.94
2001-08-09,27.53
2001-08-10,27.69
2001-08-13,28.04
2001-08-14,27.77
2001-08-15,28.00
2001-08-16,27.51
2001-08-17,27.40
2001-08-20,26.60
2001-08-21,27.15
2001-08-22,26.73
2001-08-23,26.38
2001-08-24,26.69
2001-08-27,26.97
2001-08-28,26.70
2001-08-29,27.17
2001-08-30,27.02
2001-08-31,26.55
2001-09-04,27.17
2001-09-05,26.93
2001-09-06,27.01
2001-09-07,27.56
2001-09-10,27.95
2001-09-14,29.98
2001-09-17,28.30
2001-09-18,28.80
2001-09-19,27.67
2001-09-20,26.87
2001-09-21,26.80
2001-09-24,25.90
2001-09-25,22.15
2001-09-26,22.17
2001-09-27,22.71
2001-09-28,22.76
2001-10-01,23.50
2001-10-02,23.15
2001-10-03,22.63
2001-10-04,22.04
2001-10-05,22.66
2001-10-08,22.61
2001-10-09,22.42
2001-10-10,22.44
2001-10-11,22.54
2001-10-12,23.23
2001-10-15,22.60
2001-10-16,22.31
2001-10-17,22.04
2001-10-18,21.83
2001-10-19,21.32
2001-10-22,21.97
2001-10-23,22.20
2001-10-24,21.83
2001-10-25,22.21
2001-10-26,21.98
2001-10-29,22.19
2001-10-30,22.09
2001-10-31,21.84
2001-11-01,21.26
2001-11-02,20.35
2001-11-05,20.18
2001-11-06,19.95
2001-11-07,19.87
2001-11-08,20.13
2001-11-09,21.05
2001-11-12,22.40
2001-11-13,21.21
2001-11-14,21.60
2001-11-15,19.80
2001-11-16,17.30
2001-11-19,18.30
2001-11-20,18.46
2001-11-21,19.08
2001-11-26,19.36
2001-11-27,18.68
2001-11-28,19.55
2001-11-29,19.14
2001-11-30,18.60
2001-12-03,19.40
2001-12-04,20.12
2001-12-05,20.15
2001-12-06,19.47
2001-12-07,18.40
2001-12-10,18.57
2001-12-11,18.30
2001-12-12,18.05
2001-12-13,18.41
2001-12-14,18.15
2001-12-17,19.23
2001-12-18,19.15
2001-12-19,19.46
2001-12-20,19.79
2001-12-21,19.24
2001-12-26,19.64
2001-12-27,21.10
2001-12-28,20.85
2001-12-31,20.36
2002-01-02,19.90
2002-01-03,21.04
2002-01-04,20.41
2002-01-07,21.53
2002-01-08,21.45
2002-01-09,21.25
2002-01-10,20.17
2002-01-11,20.48
2002-01-14,19.68
2002-01-15,18.85
2002-01-16,18.86
2002-01-17,19.05
2002-01-18,18.03
2002-01-22,18.05
2002-01-23,18.98
2002-01-24,19.48
2002-01-25,19.73
2002-01-28,20.06
2002-01-29,19.95
2002-01-30,19.58
2002-01-31,19.14
2002-02-01,19.47
2002-02-04,20.34
2002-02-05,20.00
2002-02-06,20.01
2002-02-07,19.70
2002-02-08,19.71
2002-02-11,20.27
2002-02-12,21.36
2002-02-13,20.58
2002-02-14,21.18
2002-02-15,21.25
2002-02-19,21.22
2002-02-20,20.90
2002-02-21,20.44
2002-02-22,21.00
2002-02-25,21.00
2002-02-26,20.47
2002-02-27,21.45
2002-02-28,21.28
2002-03-01,21.80
2002-03-04,22.43
2002-03-05,22.51
2002-03-06,23.19
2002-03-07,23.20
2002-03-08,23.71
2002-03-11,23.87
2002-03-12,24.35
2002-03-13,24.20
2002-03-14,24.10
2002-03-15,24.55
2002-03-18,24.40
2002-03-19,25.05
2002-03-20,25.05
2002-03-21,24.95
2002-03-22,25.63
2002-03-25,25.35
2002-03-26,25.35
2002-03-27,25.35
2002-03-28,25.83
2002-04-01,26.46
2002-04-02,26.79
2002-04-03,27.71
2002-04-04,27.54
2002-04-05,26.55
2002-04-08,26.40
2002-04-09,26.57
2002-04-10,25.81
2002-04-11,26.10
2002-04-12,25.00
2002-04-15,24.25
2002-04-16,24.55
2002-04-17,24.83
2002-04-18,25.91
2002-04-19,26.15
2002-04-22,26.40
2002-04-23,26.39
2002-04-24,26.60
2002-04-25,26.43
2002-04-26,26.43
2002-04-29,26.92
2002-04-30,27.50
2002-05-01,27.25
2002-05-02,26.75
2002-05-03,26.30
2002-05-06,26.31
2002-05-07,26.15
2002-05-08,26.63
2002-05-09,27.75
2002-05-10,27.72
2002-05-13,27.75
2002-05-14,28.41
2002-05-15,29.28
2002-05-16,28.26
2002-05-17,27.98
2002-05-20,28.20
2002-05-21,28.23
2002-05-22,26.35
2002-05-23,26.43
2002-05-24,26.15
2002-05-28,25.75
2002-05-29,25.20
2002-05-30,25.70
2002-05-31,24.74
2002-06-03,25.26
2002-06-04,25.05
2002-06-05,25.30
2002-06-06,24.92
2002-06-07,24.88
2002-06-10,24.51
2002-06-11,24.25
2002-06-12,24.11
2002-06-13,24.68
2002-06-14,25.63
2002-06-17,26.03
2002-06-18,26.00
2002-06-19,25.37
2002-06-20,25.31
2002-06-21,25.95
2002-06-24,25.70
2002-06-25,26.60
2002-06-26,26.34
2002-06-27,26.75
2002-06-28,26.81
2002-07-01,26.89
2002-07-02,26.82
2002-07-03,26.80
2002-07-08,26.77
2002-07-09,26.10
2002-07-10,26.09
2002-07-11,26.74
2002-07-12,26.83
2002-07-15,27.60
2002-07-16,27.02
2002-07-17,27.72
2002-07-18,27.92
2002-07-19,27.52
2002-07-22,27.75
2002-07-23,26.74
2002-07-24,26.34
2002-07-25,26.85
2002-07-26,26.68
2002-07-29,26.52
2002-07-30,26.52
2002-07-31,27.40
2002-08-01,27.00
2002-08-02,26.47
2002-08-05,26.83
2002-08-06,26.50
2002-08-07,27.17
2002-08-08,26.45
2002-08-09,26.70
2002-08-12,26.90
2002-08-13,27.79
2002-08-14,27.93
2002-08-15,28.22
2002-08-16,29.00
2002-08-19,29.31
2002-08-20,29.83
2002-08-21,28.65
2002-08-22,29.22
2002-08-23,28.85
2002-08-26,28.68
2002-08-27,29.25
2002-08-28,28.87
2002-08-29,28.37
2002-08-30,28.87
2002-09-03,29.00
2002-09-04,27.79
2002-09-05,28.34
2002-09-06,29.01
2002-09-09,29.57
2002-09-10,29.78
2002-09-11,29.66
2002-09-12,29.77
2002-09-13,28.95
2002-09-16,29.78
2002-09-17,29.60
2002-09-18,29.06
2002-09-19,29.48
2002-09-20,29.50
2002-09-23,30.00
2002-09-24,30.73
2002-09-25,30.71
2002-09-26,30.66
2002-09-27,30.39
2002-09-30,30.71
2002-10-01,30.45
2002-10-02,30.82
2002-10-03,30.43
2002-10-04,29.74
2002-10-07,29.72
2002-10-08,29.73
2002-10-09,29.50
2002-10-10,29.36
2002-10-11,29.00
2002-10-14,29.45
2002-10-15,30.01
2002-10-16,29.67
2002-10-17,29.45
2002-10-18,29.65
2002-10-21,29.42
2002-10-22,28.37
2002-10-23,28.09
2002-10-24,28.18
2002-10-25,28.15
2002-10-28,27.12
2002-10-29,27.22
2002-10-30,26.72
2002-10-31,26.83
2002-11-01,27.20
2002-11-04,26.97
2002-11-05,26.89
2002-11-06,26.14
2002-11-07,25.73
2002-11-08,25.34
2002-11-11,25.70
2002-11-12,25.96
2002-11-13,25.90
2002-11-14,25.20
2002-11-15,25.35
2002-11-18,25.53
2002-11-19,26.65
2002-11-20,26.36
2002-11-21,26.08
2002-11-22,26.34
2002-11-25,26.85
2002-11-26,26.09
2002-11-27,26.40
2002-12-02,26.90
2002-12-03,27.25
2002-12-04,27.32
2002-12-05,26.71
2002-12-06,27.34
2002-12-09,27.10
2002-12-10,27.25
2002-12-11,27.75
2002-12-12,27.43
2002-12-13,27.95
2002-12-16,28.62
2002-12-17,30.05
2002-12-18,30.40
2002-12-19,30.40
2002-12-20,30.25
2002-12-23,30.41
2002-12-24,31.85
2002-12-26,31.63
2002-12-27,32.58
2002-12-30,32.75
2002-12-31,31.40
2003-01-02,31.60
2003-01-03,31.98
2003-01-06,33.08
2003-01-07,32.11
2003-01-08,31.05
2003-01-09,30.60
2003-01-10,31.99
2003-01-13,31.30
2003-01-14,32.25
2003-01-15,32.40
