Date,Open,Volume
2000-01-03,5.88,35389440000
2000-01-04,5.55,28861440000
2000-01-05,5.49,43033600000
2000-01-06,5.48,34055680000
2000-01-07,5.50,20912640000
2000-01-10,5.61,19563520000
2000-01-11,5.48,23987200000
2000-01-12,5.48,23301120000
2000-01-13,5.33,26383360000
2000-01-14,5.40,16657920000
2000-01-17,5.34,16573440000
2000-01-18,5.36,17925120000
2000-01-19,5.33,38883840000
2000-01-20,5.31,26268160000
2000-01-21,5.20,17512960000
2000-01-24,5.16,18385920000
2000-01-25,5.16,0
2000-01-26,5.23,25917440000
2000-01-27,5.19,38379520000
2000-01-28,5.19,17894400000
2000-01-31,5.10,32266240000
2000-02-01,5.20,23672320000
2000-02-02,5.30,14272000000
2000-02-03,5.45,25950720000
2000-02-04,5.59,21199360000
2000-02-07,5.63,20613120000
2000-02-08,5.75,31498240000
2000-02-09,5.63,15600640000
2000-02-10,5.46,18600960000
2000-02-11,5.29,25297920000
2000-02-14,5.21,10119680000
2000-02-15,5.31,33546240000
2000-02-16,5.74,73564160000
2000-02-17,5.69,21411840000
2000-02-18,5.56,22484480000
2000-02-21,5.55,18700800000
2000-02-22,5.53,22474240000
2000-02-23,5.56,20334080000
2000-02-24,5.71,32931840000
2000-02-25,5.86,36958720000
2000-02-28,5.75,11596800000
2000-02-29,5.78,24322560000
2000-03-01,5.88,23828480000
2000-03-02,5.84,24053760000
2000-03-03,6.04,13217280000
2000-03-06,6.04,0
2000-03-07,6.04,0
2000-03-08,6.18,8337920000
2000-03-09,6.40,21578240000
2000-03-10,6.21,14763520000
2000-03-13,6.21,0
2000-03-14,5.81,28421120000
2000-03-15,5.89,25216000000
2000-03-16,5.93,23298560000
2000-03-17,5.86,18447360000
2000-03-20,5.69,16012800000
2000-03-21,5.80,25492480000
2000-03-22,5.81,25113600000
2000-03-23,5.81,26447360000
2000-03-24,5.81,15249920000
2000-03-27,6.25,22727680000
2000-03-28,5.99,16906240000
2000-03-29,5.96,21788160000
2000-03-30,5.83,16432640000
2000-03-31,5.90,20659200000
2000-04-03,5.85,18083840000
2000-04-04,5.82,33208320000
2000-04-05,6.06,40258560000
2000-04-06,6.15,24975360000
2000-04-07,6.19,19161600000
2000-04-10,6.05,13194240000
2000-04-11,5.90,21875200000
2000-04-12,6.04,45626880000
2000-04-13,5.90,40263680000
2000-04-14,5.90,0
2000-04-17,5.25,66396160000
2000-04-18,5.41,50900480000
2000-04-19,5.09,38799360000
2000-04-20,5.10,17896960000
2000-04-21,5.10,0
2000-04-24,5.00,20638720000
2000-04-25,5.45,38284800000
2000-04-26,5.37,22627840000
2000-04-27,5.38,43991040000
2000-04-28,5.38,25940480000
2000-05-01,5.38,0
2000-05-02,5.51,19975680000
2000-05-03,5.49,20416000000
2000-05-04,5.48,21488640000
2000-05-05,5.49,17635840000
2000-05-08,5.49,17551360000
2000-05-09,5.50,26621440000
2000-05-10,5.40,26841600000
2000-05-11,5.31,36037120000
2000-05-12,5.31,26560000000
2000-05-15,5.40,13186560000
2000-05-16,5.58,27993600000
2000-05-17,5.51,12966400000
2000-05-18,5.54,23644160000
2000-05-19,5.41,23654400000
2000-05-22,5.26,20034560000
2000-05-23,5.33,24501760000
2000-05-24,5.24,38970880000
2000-05-25,5.31,38474240000
2000-05-26,5.25,26065920000
2000-05-29,5.30,11112960000
2000-05-30,5.32,23626240000
2000-05-31,5.24,26045440000
2000-06-01,5.50,27148800000
2000-06-02,5.81,51576320000
2000-06-05,5.79,22650880000
2000-06-06,5.79,0
2000-06-07,6.24,23697920000
2000-06-08,6.28,28997120000
2000-06-09,6.28,10813440000
2000-06-12,6.24,6832640000
2000-06-13,6.23,21562880000
2000-06-14,6.16,27604480000
2000-06-15,6.17,21391360000
2000-06-16,6.29,36892160000
2000-06-19,6.33,68078080000
2000-06-20,6.36,17233920000
2000-06-21,6.44,38213120000
2000-06-22,6.44,0
2000-06-23,6.44,28073600
2000-06-26,6.56,23228800
2000-06-27,6.63,28342400
2000-06-28,6.86,25206400
2000-06-29,6.65,15392000
2000-06-30,6.81,15942400
2000-07-03,7.00,22694400
2000-07-04,7.15,21155200
2000-07-05,6.98,40316800
2000-07-06,6.98,29712000
2000-07-07,6.71,48684800
2000-07-10,6.73,26758400
2000-07-11,6.41,55961600
2000-07-12,6.31,48240000
2000-07-13,6.06,28204800
2000-07-14,6.19,27990400
2000-07-17,6.19,78153600
2000-07-18,6.13,37033600
2000-07-19,6.21,30892800
2000-07-20,6.55,37116800
2000-07-21,6.44,53036800
2000-07-24,6.38,26806400
2000-07-25,6.04,59932800
2000-07-26,6.09,39897600
2000-07-27,6.00,47590400
2000-07-28,5.78,36342400
2000-07-31,5.85,22048000
2000-08-01,5.69,77788800
2000-08-02,5.81,66147200
2000-08-03,5.83,48515200
2000-08-04,5.81,164937600
2000-08-07,5.95,69481600
2000-08-08,5.74,203132800
2000-08-09,5.63,136963200
2000-08-10,6.19,218003200
2000-08-11,6.24,93910400
2000-08-14,6.23,45708800
2000-08-15,6.30,48217600
2000-08-16,6.38,66998400
2000-08-17,6.63,55654400
2000-08-18,6.50,43158400
2000-08-21,6.37,46761600
2000-08-22,6.44,42275200
2000-08-23,6.59,54163200
2000-08-24,6.56,29488000
2000-08-25,6.69,37667200
2000-08-28,6.61,29004800
2000-08-29,6.80,53814400
2000-08-30,7.06,91404800
2000-08-31,6.89,49180800
2000-09-01,6.94,34025600
2000-09-04,6.89,17913600
2000-09-05,6.85,28764800
2000-09-06,7.11,38336000
2000-09-07,7.11,0
2000-09-08,7.06,21145600
2000-09-11,7.20,39068800
2000-09-12,7.08,34668800
2000-09-13,7.00,45532800
2000-09-14,6.74,39596800
2000-09-15,6.82,27494400
2000-09-18,6.62,31660800
2000-09-19,6.58,43027200
2000-09-20,6.69,39939200
2000-09-21,6.51,28496000
2000-09-22,6.44,39763200
2000-09-25,6.50,34928000
2000-09-26,6.66,34464000
2000-09-27,6.65,62380800
2000-09-28,6.61,22048000
2000-09-29,6.55,28652800
2000-10-02,6.53,24534400
2000-10-03,6.55,25948800
2000-10-04,6.63,21932800
2000-10-05,6.63,0
2000-10-06,6.48,37315200
2000-10-09,6.49,26342400
2000-10-10,6.61,40163200
2000-10-11,6.63,30969600
2000-10-12,6.63,0
2000-10-13,6.71,33702400
2000-10-16,6.46,61683200
2000-10-17,6.19,30995200
2000-10-18,6.25,97750400
2000-10-19,6.35,55462400
2000-10-20,6.25,26928000
2000-10-23,5.99,39004800
2000-10-24,5.99,0
2000-10-25,5.73,54582400
2000-10-26,6.11,48233600
2000-10-27,6.17,45820800
2000-10-30,6.34,25900800
2000-10-31,6.33,44307200
2000-11-01,6.40,31068800
2000-11-02,6.40,0
2000-11-03,6.26,31468800
2000-11-06,6.40,26361600
2000-11-07,6.53,33436800
2000-11-08,6.44,34857600
2000-11-09,6.25,52691200
2000-11-10,6.27,33510400
2000-11-13,6.35,29878400
2000-11-14,6.35,0
2000-11-15,6.35,0
2000-11-16,6.41,23590400
2000-11-17,6.56,24732800
2000-11-20,6.38,18204800
2000-11-21,6.46,29494400
2000-11-22,6.56,46486400
2000-11-23,6.50,41798400
2000-11-24,6.44,25968000
2000-11-27,6.36,40777600
2000-11-28,6.08,41145600
